gen_data/time,gen_data/delta_f_rad,gen_data/omega_wheel_fl_radps,gen_data/omega_wheel_fr_radps,gen_data/omega_wheel_rl_radps,gen_data/omega_wheel_rr_radps,gen_data/gear,cor_data/time,cor_data/vel_cog_x_mps,cor_data/vel_cog_y_mps,imu_data/time,imu_data/acc_cog_x_mps2,imu_data/acc_cog_y_mps2,imu_data/acc_cog_z_mps2,imu_data/yaw_rate_radps
0.3400043,-0.0003210273,63.485,63.3825,63.605,63.5775,1.0,1714059800.0,19.475082,0.11998666,1714058100.0,-0.2909747,-0.3358035,9.81,-0.0037065307
0.35000443,-0.0004012841,63.5,63.39,63.595,63.575,1.0,1714059400.0,19.371126,0.11349117,1714057700.0,-0.3180259,-0.600618,9.81,-0.0013339268
0.36000454,-0.0004012841,63.515,63.4025,63.6525,63.59,1.0,1714059900.0,19.380432,0.08925265,1714058200.0,-0.39077052,-1.0734911,9.81,0.0030797473
0.37000468,-0.00048154092,63.517498,63.4075,63.655,63.6525,1.0,1714059500.0,19.32731,0.059002966,1714057600.0,-0.49363023,-1.2996086,9.81,0.005815488
0.3800048,-0.0006420546,63.52,63.41,63.655,63.6225,1.0,1714059500.0,19.378157,0.037071634,1714058200.0,-0.59388363,-1.3446789,9.81,0.0029369174
0.39000493,-0.0007223114,63.524998,63.41,63.6175,63.6625,1.0,1714059800.0,19.31246,0.02294512,1714058000.0,-0.63499564,-1.4014221,9.81,-0.0044818306
0.40000504,-0.0007223114,63.51,63.4025,63.6225,63.735,1.0,1714059500.0,19.36527,0.02916501,1714057600.0,-0.57100594,-1.2921178,9.81,-0.010711924
0.41000518,-0.0008025682,63.4925,63.4,63.575,63.735,1.0,1714059900.0,19.398115,-0.006339306,1714058000.0,-0.46752906,-0.74542797,9.81,-0.013362393
0.42000532,-0.00088282506,63.465,63.420002,63.62,63.7475,1.0,1714060300.0,19.433132,-0.037437283,1714058400.0,-0.35074738,-0.22320366,9.81,-0.009746056
0.43000543,-0.0008025682,63.4875,63.4225,63.645,63.75,1.0,1714060000.0,19.435783,-0.043588262,1714057700.0,-0.27056438,-0.2797798,9.81,-0.00676435
0.44000557,-0.0006420546,63.48,63.425,63.615,63.73,1.0,1714059400.0,19.483326,-0.08166483,1714058000.0,-0.21939707,-0.6826456,9.81,-0.0083922995
